guid,gid,uid,vid
0,4337,37,102
0,4463,37,72
0,4477,37,62
0,4417,37,216
0,4424,37,58
0,4493,37,45
0,4491,37,171
0,4756,37,74
0,4351,37,79
0,4377,37,91
0,4489,37,82
0,4755,37,114
0,4545,37,373
0,4426,37,225
0,4350,37,39
0,4549,37,273
0,4340,37,417
0,4427,37,104
0,4741,37,155
0,4729,37,98
0,4419,37,59
1,4338,578,327
1,4541,578,419
1,4661,578,244
1,4461,578,131
1,4577,578,265
1,4380,578,403
1,4436,578,15
1,4764,578,406
1,4438,578,8
1,4437,578,34
1,4637,578,400
2,4339,138,250
2,4572,138,291
2,4630,138,89
2,4392,138,271
2,4354,138,278
2,4617,138,304
2,4692,138,105
2,4601,138,65
2,4485,138,132
2,4504,138,133
2,4535,138,227
2,4579,138,119
2,4736,138,211
2,4429,138,323
2,4413,138,243
2,4487,138,3
2,4733,138,229
2,4378,138,57
3,4340,262,417
3,4337,262,102
3,4425,262,379
3,4417,262,216
3,4763,262,195
3,4565,262,161
3,4661,262,244
3,4351,262,79
3,4676,262,134
3,4571,262,341
3,4650,262,169
3,4648,262,330
3,4753,262,228
3,4723,262,63
3,4498,262,339
3,4669,262,178
4,4341,230,303
4,4729,230,98
4,4424,230,58
4,4700,230,150
4,4463,230,72
4,4489,230,82
4,4557,230,259
4,4689,230,118
4,4353,230,262
4,4702,230,115
4,4350,230,39
4,4352,230,208
4,4358,230,299
4,4756,230,74
4,4337,230,102
4,4766,230,166
4,4757,230,71
5,4342,220,363
5,4469,220,81
5,4633,220,172
5,4414,220,369
5,4605,220,237
5,4601,220,65
5,4485,220,132
5,4631,220,329
5,4752,220,320
5,4429,220,323
5,4559,220,141
5,4602,220,159
5,4411,220,78
5,4356,220,56
5,4465,220,153
5,4577,220,265
5,4529,220,87
6,4343,1278,309
6,4732,1278,404
6,4579,1278,119
6,4356,1278,56
6,4733,1278,229
6,4440,1278,12
6,4437,1278,34
6,4411,1278,78
7,4344,312,148
7,4753,312,228
7,4676,312,134
7,4600,312,245
7,4756,312,74
7,4427,312,104
7,4626,312,85
7,4735,312,90
7,4717,312,99
7,4393,312,226
7,4702,312,115
7,4724,312,183
7,4337,312,102
7,4689,312,118
7,4360,312,248
7,4351,312,79
8,4345,675,246
8,4351,675,79
8,4764,675,406
8,4424,675,58
8,4419,675,59
8,4723,675,63
8,4702,675,115
8,4756,675,74
8,4416,675,41
8,4477,675,62
9,4346,405,399
9,4492,405,215
9,4681,405,124
9,4630,405,89
9,4766,405,166
9,4742,405,77
9,4459,405,282
9,4418,405,253
9,4354,405,278
9,4608,405,275
9,4456,405,231
9,4402,405,331
9,4469,405,81
9,4576,405,147
10,4347,491,312
10,4691,491,302
10,4447,491,181
10,4498,491,339
10,4526,491,142
10,4619,491,174
10,4759,491,136
10,4726,491,316
10,4562,491,357
10,4576,491,147
10,4475,491,224
10,4672,491,86
11,4348,535,200
11,4423,535,52
11,4557,535,259
11,4464,535,49
11,4393,535,226
11,4735,535,90
11,4350,535,39
11,4537,535,37
11,4359,535,207
11,4463,535,72
11,4642,535,185
11,4723,535,63
12,4349,273,352
12,4350,273,39
12,4419,273,59
12,4393,273,226
12,4634,273,268
12,4757,273,71
12,4477,273,62
12,4755,273,114
12,4724,273,183
12,4423,273,52
12,4685,273,194
12,4488,273,397
12,4463,273,72
12,4413,273,243
12,4416,273,41
12,4626,273,85
13,4350,175,39
13,4394,175,76
13,4419,175,59
13,4757,175,71
13,4423,175,52
13,4463,175,72
13,4755,175,114
13,4351,175,79
13,4477,175,62
13,4424,175,58
13,4416,175,41
13,4417,175,216
13,4489,175,82
13,4557,175,259
13,4349,175,352
13,4625,175,233
13,4743,175,354
13,4717,175,99
14,4351,84,79
14,4419,84,59
14,4690,84,202
14,4350,84,39
14,4477,84,62
14,4723,84,63
14,4424,84,58
14,4416,84,41
14,4417,84,216
14,4757,84,71
14,4337,84,102
14,4542,84,36
14,4345,84,246
14,4702,84,115
14,4489,84,82
14,4423,84,52
14,4756,84,74
14,4394,84,76
14,4426,84,225
