guid,gid,uid,vid
0,5246,3564,898
1,5858,1999,120
1,5776,1999,30
1,4978,1999,4
1,4977,1999,12
1,5776,1999,30
1,5929,1999,77
1,5858,1999,120
1,5903,1999,3
1,5900,1999,2
1,4977,1999,12
1,5428,1999,294
1,5421,1999,49
2,5843,3069,1
2,5900,3069,2
2,5929,3069,77
2,4984,3069,5
3,5858,2052,120
3,5776,2052,30
3,5838,2052,26
3,5903,2052,3
3,5858,2052,120
3,5515,2052,15
3,5248,2052,680
3,5234,2052,10
3,4978,2052,4
3,5550,2052,530
3,5376,2052,68
4,5302,2322,65
4,4978,2322,4
4,4977,2322,12
4,5550,2322,530
4,5092,2322,107
4,5554,2322,959
4,5553,2322,189
4,5196,2322,221
4,5239,2322,684
5,5309,3496,70
6,4996,1996,73
6,4834,1996,281
6,4998,1996,29
6,5903,1996,3
6,5657,1996,125
6,4996,1996,73
6,5212,1996,1208
6,5764,1996,515
6,4998,1996,29
6,5196,1996,221
6,5487,1996,582
6,5938,1996,27
7,5762,3046,435
7,5938,3046,27
7,5778,3046,99
7,5842,3046,20
7,4984,3046,5
8,4790,2548,787
8,5747,2548,710
8,5239,2548,684
8,5274,2548,437
8,5265,2548,778
8,5304,2548,524
8,5259,2548,887
8,5552,2548,547
9,4977,2621,12
9,5903,2621,3
9,5900,2621,2
9,4979,2621,7
9,5764,2621,515
9,5838,2621,26
9,5426,2621,644
9,5900,2621,2
10,4960,1801,1032
10,4961,1801,870
10,5217,1801,465
10,5661,1801,75
10,5764,1801,515
10,5644,1801,112
10,5838,1801,26
10,5764,1801,515
10,5220,1801,118
10,5729,1801,194
10,4961,1801,870
10,4960,1801,1032
10,5838,1801,26
10,4962,1801,703
10,5661,1801,75
10,5217,1801,465
12,4977,3424,12
12,5843,3424,1
13,5130,2852,996
13,5092,2852,107
13,4869,2852,853
13,5987,2852,306
13,5186,2852,839
13,5272,2852,44
14,5092,3130,107
14,5187,3130,668
14,5130,3130,996
14,5234,3130,10
15,4978,2206,4
15,4984,2206,5
15,5285,2206,0
15,4978,2206,4
15,4984,2206,5
15,5302,2206,65
15,5858,2206,120
15,5776,2206,30
15,5903,2206,3
15,5843,2206,1
16,5738,2078,540
16,4984,2078,5
16,5740,2078,182
16,5858,2078,120
16,5741,2078,342
16,5309,2078,70
16,5225,2078,13
16,5738,2078,540
16,5092,2078,107
16,4978,2078,4
16,5353,2078,923
17,5900,1918,2
17,4978,1918,4
17,4977,1918,12
17,5843,1918,1
17,5938,1918,27
17,4979,1918,7
17,5903,1918,3
17,4984,1918,5
17,5842,1918,20
17,4977,1918,12
17,5900,1918,2
17,4978,1918,4
17,4979,1918,7
18,5089,2946,612
18,4998,2946,29
18,5900,2946,2
18,5160,2946,1012
18,4984,2946,5
19,4910,2355,750
19,4834,2355,281
19,5487,2355,582
19,4834,2355,281
19,4855,2355,67
19,5322,2355,165
19,5866,2355,843
19,4937,2355,669
19,4910,2355,750
20,5107,2576,252
20,5098,2576,111
20,5099,2576,186
20,5098,2576,111
20,5091,2576,517
20,5652,2576,322
20,5107,2576,252
20,5843,2576,1
21,5843,3208,1
21,4984,3208,5
21,4979,3208,7
22,5612,3191,332
22,4907,3191,438
22,5307,3191,570
22,5612,3191,332
23,5092,2167,107
23,5353,2167,923
23,5842,2167,20
23,4978,2167,4
23,5991,2167,282
23,5778,2167,99
23,5285,2167,0
23,4984,2167,5
23,4840,2167,826
23,5440,2167,296
24,5898,3408,1106
24,5843,3408,1
25,5929,1990,77
25,5877,1990,64
25,5944,1990,550
25,5944,1990,550
25,5834,1990,164
25,5843,1990,1
25,5361,1990,283
25,5345,1990,472
25,5421,1990,49
25,5929,1990,77
25,5776,1990,30
25,5877,1990,64
27,5158,3098,1206
27,4984,3098,5
27,5196,3098,221
27,4937,3098,669
28,5468,2420,318
28,5459,2420,620
28,5900,2420,2
28,5210,2420,1099
28,5877,2420,64
28,5421,2420,49
28,5285,2420,0
28,4979,2420,7
28,5903,2420,3
29,5302,3221,65
29,5938,3221,27
29,4977,3221,12
30,5123,2866,458
30,5144,2866,369
30,5119,2866,1017
30,5119,2866,1017
30,5145,2866,51
30,5135,2866,536
31,4936,1930,405
31,5923,1930,1039
31,5032,1930,623
31,4937,1930,669
31,5031,1930,970
31,4937,1930,669
31,5027,1930,701
31,5043,1930,619
31,5032,1930,623
31,5751,1930,586
31,5923,1930,1039
31,5337,1930,635
31,4936,1930,405
32,5903,3341,3
32,5900,3341,2
33,5846,3342,697
33,5285,3342,0
34,6037,2128,920
34,4910,2128,750
