guid,gid,uid,vid
0,4198,2779,204
0,4209,2779,306
0,4069,2779,133
0,4260,2779,289
1,4243,1333,112
1,4330,1333,100
1,4249,1333,173
1,4228,1333,435
1,3808,1333,121
1,3805,1333,232
1,4226,1333,503
1,4228,1333,435
1,3802,1333,200
1,4243,1333,112
1,3797,1333,171
2,4300,3157,93
2,3808,3157,121
3,4243,1358,112
3,4197,1358,110
3,4330,1358,100
3,4260,1358,289
3,4262,1358,549
3,4330,1358,100
3,4241,1358,438
3,4069,1358,133
3,4228,1358,435
3,4197,1358,110
3,4260,1358,289
4,4037,1150,147
4,4069,1150,133
4,4198,1150,204
4,3700,1150,381
4,4260,1150,289
4,4069,1150,133
4,4037,1150,147
4,4115,1150,562
4,4276,1150,214
4,4188,1150,300
4,4199,1150,172
4,4198,1150,204
4,4100,1150,404
4,3700,1150,381
5,3992,1219,513
5,4050,1219,282
5,4243,1219,112
5,4330,1219,100
5,4075,1219,372
5,3992,1219,513
5,3961,1219,263
5,4228,1219,435
5,4330,1219,100
5,4300,1219,93
5,3913,1219,395
5,4050,1219,282
5,4243,1219,112
6,3795,677,225
6,3808,677,121
6,4095,677,217
6,3799,677,309
6,4235,677,84
6,4096,677,280
6,3805,677,232
6,3797,677,171
6,3802,677,200
6,4009,677,207
6,3805,677,232
6,4095,677,217
6,3797,677,171
6,4235,677,84
6,3795,677,225
6,3802,677,200
6,3799,677,309
6,4096,677,280
6,4009,677,207
6,3808,677,121
7,4308,1084,509
7,4017,1084,276
7,4114,1084,625
7,4149,1084,518
7,3977,1084,186
7,3977,1084,186
7,4114,1084,625
7,4017,1084,276
7,4149,1084,518
7,4308,1084,509
7,4260,1084,289
7,3971,1084,231
7,4037,1084,147
7,4243,1084,112
7,4252,1084,219
8,4198,505,204
8,4294,505,507
8,4017,505,276
8,4228,505,435
8,4188,505,300
8,4226,505,503
8,4316,505,230
8,4100,505,404
8,3979,505,437
8,4243,505,112
8,4330,505,100
8,4188,505,300
8,3979,505,437
8,4316,505,230
8,4294,505,507
8,4017,505,276
8,4226,505,503
8,4198,505,204
8,4243,505,112
8,4100,505,404
8,4228,505,435
9,3918,2367,19
9,3700,2367,381
9,4242,2367,488
9,3904,2367,29
9,4314,2367,576
9,3981,2367,59
10,3806,3191,512
10,4028,3191,608
11,4335,1470,397
11,3692,1470,516
11,4322,1470,308
11,4033,1470,261
11,4296,1470,345
11,4038,1470,183
11,4276,1470,214
