guid,vid,gid,rating,uid
646,4094,6342,3,91
646,5540,7788,4,91
646,2461,4709,4,91
646,4278,6526,4,91
646,1827,4075,4,91
646,2931,5179,3,91
646,279,2527,3,91
646,1716,3964,5,91
646,6564,8812,4,91
646,5800,8048,4,91
646,2384,4632,3,91
646,4298,6546,2,91
646,6289,8537,5,91
646,210,2458,4,91
646,3502,5750,4,91
646,5596,7844,4,91
646,4126,6374,4,91
646,1181,3429,4,91
646,6490,8738,4,91
646,5670,7918,4,91
646,6482,8730,5,91
646,6286,8534,4,91
646,977,3225,4,91
646,3231,5479,4,91
646,5196,7444,5,91
646,3428,5676,5,91
646,4262,6510,4,91
646,4307,6555,4,91
646,4053,6301,3,91
646,613,2861,4,91
646,201,2449,3,91
646,3276,5524,3,91
646,2857,5105,2,91
646,5266,7514,3,91
646,106,2354,4,91
646,4190,6438,3,91
646,1039,3287,4,91
646,4648,6896,5,91
646,1731,3979,5,91
646,6468,8716,4,91
646,414,2662,4,91
646,5583,7831,4,91
646,6158,8406,4,91
646,359,2607,4,91
646,4998,7246,4,91
646,4973,7221,4,91
646,4222,6470,4,91
646,3208,5456,5,91
646,3720,5968,3,91
646,2148,4396,5,91
646,3380,5628,4,91
646,2080,4328,4,91
646,646,2894,4,91
646,1108,3356,4,91
646,32,2280,4,91
646,427,2675,3,91
646,431,2679,3,91
646,1684,3932,4,91
646,2017,4265,4,91
646,5117,7365,5,91
646,2222,4470,5,91
646,5425,7673,4,91
646,517,2765,4,91
646,3117,5365,4,91
646,5661,7909,4,91
646,6405,8653,4,91
646,3376,5624,5,91
646,4833,7081,4,91
646,294,2542,5,91
646,5773,8021,5,91
646,3110,5358,4,91
646,4076,6324,3,91
646,5976,8224,4,91
646,5317,7565,4,91
646,4242,6490,5,91
646,4001,6249,4,91
646,794,3042,4,91
646,3853,6101,3,91
646,5720,7968,5,91
646,4985,7233,3,91
646,4255,6503,5,91
646,1200,3448,3,91
646,1644,3892,4,91
646,3040,5288,5,91
646,5190,7438,5,91
646,782,3030,5,91
646,6511,8759,4,91
646,3076,5324,3,91
646,2848,5096,3,91
646,1342,3590,5,91
646,4979,7227,5,91
646,3933,6181,4,91
646,3962,6210,4,91
646,2073,4321,5,91
646,3820,6068,3,91
646,4143,6391,4,91
646,266,2514,5,91
646,818,3066,4,91
646,3573,5821,4,91
646,4256,6504,3,91
646,6339,8587,4,91
646,3554,5802,5,91
646,5136,7384,4,91
646,5955,8203,4,91
646,4263,6511,3,91
646,4038,6286,4,91
646,6496,8744,4,91
646,1812,4060,4,91
646,5041,7289,4,91
646,2144,4392,4,91
646,3294,5542,5,91
646,509,2757,5,91
646,362,2610,4,91
646,4743,6991,4,91
646,2483,4731,5,91
646,306,2554,4,91
646,5855,8103,4,91
646,4537,6785,5,91
646,3329,5577,4,91
646,3929,6177,4,91
646,3327,5575,5,91
646,826,3074,5,91
646,50,2298,3,91
646,3552,5800,4,91
646,3978,6226,5,91
646,5824,8072,5,91
646,4167,6415,5,91
646,4830,7078,5,91
646,588,2836,5,91
646,73,2321,5,91
646,4981,7229,5,91
646,964,3212,5,91
646,905,3153,5,91
646,4832,7080,4,91
646,1150,3398,5,91
646,5953,8201,5,91
646,3301,5549,5,91
646,1792,4040,4,91
646,1793,4041,5,91
646,5257,7505,4,91
646,5825,8073,5,91
646,3677,5925,3,91
646,6443,8691,4,91
646,974,3222,4,91
646,1642,3890,4,91
646,1363,3611,5,91
646,5689,7937,5,91
646,5364,7612,5,91
646,726,2974,4,91
646,189,2437,3,91
646,6270,8518,5,91
646,2615,4863,4,91
646,6051,8299,4,91
646,5998,8246,5,91
646,4640,6888,5,91
646,3026,5274,5,91
646,3748,5996,4,91
646,776,3024,4,91
646,5097,7345,3,91
646,2556,4804,5,91
646,5858,8106,5,91
646,3241,5489,5,91
646,5374,7622,3,91
646,5138,7386,4,91
646,4930,7178,3,91
646,1760,4008,4,91
646,5051,7299,5,91
646,3505,5753,3,91
646,515,2763,5,91
646,1916,4164,4,91
646,3660,5908,3,91
646,730,2978,3,91
646,2897,5145,4,91
646,3264,5512,5,91
646,3576,5824,4,91
646,2710,4958,3,91
646,2352,4600,3,91
646,2918,5166,3,91
646,2662,4910,5,91
646,2983,5231,5,91
646,5921,8169,3,91
646,664,2912,4,91
105,4094,6342,4,715
105,4278,6526,4,715
105,4262,6510,5,715
105,1731,3979,4,715
105,3069,5317,5,715
105,5435,7683,3,715
105,3965,6213,4,715
105,4813,7061,4,715
105,4955,7203,4,715
105,4778,7026,4,715
105,6252,8500,5,715
105,4719,6967,4,715
