guid,vid,gid,rating,uid
646,4086,32351,5,386
646,1646,29911,5,386
646,659,28924,5,386
646,4027,32292,5,386
646,3955,32220,4,386
646,2896,31161,5,386
646,3927,32192,5,386
646,3771,32036,3,386
646,3902,32167,4,386
646,2621,30886,5,386
646,4766,33031,4,386
646,3963,32228,4,386
646,377,28642,5,386
646,878,29143,5,386
646,3940,32205,2,386
646,2993,31258,5,386
646,4574,32839,5,386
646,4613,32878,5,386
646,3876,32141,5,386
646,3615,31880,5,386
646,3790,32055,5,386
646,3932,32197,5,386
646,3924,32189,4,386
646,3508,31773,4,386
646,3907,32172,5,386
646,1048,29313,5,386
646,3797,32062,3,386
646,3602,31867,4,386
646,998,29263,5,386
646,3721,31986,3,386
646,3082,31347,4,386
646,3225,31490,4,386
646,3755,32020,3,386
646,3623,31888,5,386
646,3633,31898,5,386
646,3448,31713,4,386
646,3444,31709,4,386
646,3460,31725,5,386
646,2658,30923,4,386
646,2139,30404,5,386
432,4086,32351,5,190
432,1646,29911,5,190
432,3940,32205,4,190
432,3876,32141,3,190
432,3286,31551,2,190
432,3695,31960,4,190
432,3010,31275,5,190
432,810,29075,5,190
432,4345,32610,2,190
432,2400,30665,5,190
432,1247,29512,5,190
432,1188,29453,5,190
432,4036,32301,3,190
432,3872,32137,3,190
432,1115,29380,5,190
432,1371,29636,5,190
432,514,28779,5,190
432,479,28744,5,190
432,3142,31407,5,190
432,82,28347,5,190
432,319,28584,5,190
432,4056,32321,1,190
432,3080,31345,3,190
432,2620,30885,3,190
432,205,28470,4,190
432,5396,33661,3,190
432,2477,30742,5,190
432,371,28636,5,190
432,1994,30259,5,190
432,2517,30782,3,190
432,1956,30221,4,190
432,5232,33497,3,190
432,1439,29704,4,190
432,2055,30320,5,190
432,1914,30179,5,190
432,333,28598,5,190
432,5016,33281,4,190
432,3687,31952,3,190
432,1509,29774,3,190
432,3304,31569,5,190
432,467,28732,5,190
432,1919,30184,3,190
432,2569,30834,5,190
432,1053,29318,5,190
432,4398,32663,4,190
432,2173,30438,5,190
432,3663,31928,1,190
432,574,28839,2,190
432,460,28725,5,190
432,914,29179,5,190
432,926,29191,4,190
432,968,29233,5,190
432,578,28843,5,190
432,5330,33595,3,190
432,358,28623,5,190
432,3170,31435,5,190
432,4777,33042,3,190
432,1539,29804,5,190
432,1923,30188,4,190
432,1962,30227,4,190
432,915,29180,5,190
432,925,29190,5,190
432,3347,31612,4,190
432,942,29207,5,190
432,192,28457,1,190
432,2683,30948,4,190
432,3824,32089,4,190
432,3777,32042,3,190
432,3699,31964,5,190
432,5498,33763,5,190
432,4974,33239,5,190
432,3068,31333,3,190
432,4083,32348,3,190
432,1087,29352,5,190
432,1936,30201,5,190
432,2714,30979,4,190
432,1256,29521,5,190
432,1129,29394,5,190
432,566,28831,5,190
432,912,29177,5,190
432,575,28840,3,190
432,4727,32992,4,190
432,1938,30203,5,190
432,548,28813,5,190
432,1257,29522,5,190
432,1613,29878,5,190
432,919,29184,5,190
432,1544,29809,5,190
432,934,29199,5,190
432,1610,29875,5,190
432,5339,33604,5,190
1567,4086,32351,5,546
1567,3286,31551,5,546
1567,3491,31756,3,546
1567,3067,31332,5,546
1567,3593,31858,5,546
1567,3919,32184,5,546
1567,3757,32022,5,546
1567,5180,33445,5,546
1567,1170,29435,5,546
1567,4511,32776,4,546
1567,4216,32481,4,546
1567,5501,33766,4,546
1567,1761,30026,4,546
1567,3756,32021,5,546
1567,3109,31374,5,546
1567,1955,30220,4,546
1567,1069,29334,5,546
1567,5476,33741,4,546
1567,4840,33105,5,546
1567,3586,31851,5,546
1567,3661,31926,3,546
926,4086,32351,4,27
926,3771,32036,3,27
926,3902,32167,4,27
926,2621,30886,4,27
926,3940,32205,4,27
926,2993,31258,4,27
926,3876,32141,4,27
926,3721,31986,5,27
926,3460,31725,5,27
926,4974,33239,5,27
926,1761,30026,3,27
926,1528,29793,3,27
926,3901,32166,3,27
926,3874,32139,3,27
926,3644,31909,5,27
926,3550,31815,2,27
926,3541,31806,3,27
926,3480,31745,5,27
926,3249,31514,3,27
926,2255,30520,5,27
926,3343,31608,4,27
926,3309,31574,2,27
926,3017,31282,5,27
926,2614,30879,3,27
926,2770,31035,3,27
926,1783,30048,5,27
926,3169,31434,5,27
926,2794,31059,4,27
926,2839,31104,2,27
926,2946,31211,2,27
926,3731,31996,4,27
926,3344,31609,3,27
926,2782,31047,1,27
926,2531,30796,2,27
926,1981,30246,5,27
926,1794,30059,5,27
926,2441,30706,5,27
926,4071,32336,5,27
926,4066,32331,5,27
926,3897,32162,4,27
926,3676,31941,5,27
926,3826,32091,3,27
926,777,29042,5,27
926,2716,30981,5,27
926,5135,33400,3,27
926,2753,31018,1,27
926,3798,32063,4,27
926,3808,32073,5,27
926,2274,30539,3,27
926,2583,30848,2,27
926,5056,33321,3,27
926,3159,31424,4,27
926,2892,31157,1,27
926,3459,31724,3,27
926,117,28382,3,27
926,2787,31052,4,27
926,137,28402,4,27
926,1819,30084,3,27
926,4759,33024,4,27
926,553,28818,5,27
926,1666,29931,5,27
926,4788,33053,4,27
926,5504,33769,3,27
926,5247,33512,4,27
926,4619,32884,4,27
926,4096,32361,4,27
926,3903,32168,5,27
926,2872,31137,4,27
926,5461,33726,3,27
926,2345,30610,4,27
926,1941,30206,3,27
926,1517,29782,4,27
926,199,28464,5,27
926,2661,30926,3,27
926,2444,30709,3,27
926,265,28530,4,27
926,3117,31382,2,27
926,3620,31885,3,27
926,3201,31466,5,27
926,382,28647,5,27
926,2704,30969,5,27
926,2388,30653,5,27
926,220,28485,4,27
926,5403,33668,5,27
926,2330,30595,2,27
926,1910,30175,3,27
926,4611,32876,5,27
926,1623,29888,2,27
926,2956,31221,2,27
926,2606,30871,2,27
926,2657,30922,4,27
926,2603,30868,2,27
926,2079,30344,5,27
926,2054,30319,5,27
926,1778,30043,2,27
926,1947,30212,3,27
926,1970,30235,5,27
926,289,28554,1,27
926,2374,30639,5,27
926,4851,33116,3,27
926,2538,30803,3,27
926,2445,30710,3,27
926,2082,30347,2,27
926,1846,30111,5,27
926,1771,30036,2,27
926,985,29250,5,27
926,3682,31947,3,27
926,37,28302,4,27
926,3,28268,5,27
926,809,29074,5,27
926,3482,31747,5,27
926,1372,29637,5,27
926,2584,30849,5,27
926,2008,30273,4,27
926,2986,31251,4,27
926,5234,33499,4,27
926,1975,30240,5,27
926,2044,30309,5,27
926,4053,32318,5,27
926,2553,30818,5,27
926,3422,31687,4,27
926,2713,30978,5,27
926,2861,31126,3,27
926,2934,31199,5,27
926,2085,30350,4,27
926,2609,30874,5,27
926,2306,30571,4,27
926,899,29164,3,27
926,4392,32657,4,27
926,1028,29293,5,27
926,4476,32741,5,27
926,4850,33115,3,27
926,3130,31395,3,27
926,2748,31013,2,27
926,5361,33626,5,27
926,5121,33386,4,27
926,4454,32719,1,27
926,2773,31038,4,27
926,871,29136,1,27
926,3077,31342,5,27
926,2913,31178,2,27
926,2915,31180,4,27
926,2768,31033,4,27
926,2426,30691,4,27
926,2401,30666,2,27
926,1799,30064,4,27
926,1882,30147,5,27
926,1647,29912,5,27
926,2970,31235,4,27
926,3681,31946,4,27
926,3535,31800,2,27
926,3291,31556,4,27
926,3241,31506,2,27
926,3205,31470,4,27
926,2655,30920,4,27
926,2431,30696,3,27
926,1945,30210,4,27
926,2524,30789,5,27
926,805,29070,5,27
926,611,28876,5,27
926,4662,32927,4,27
926,3308,31573,3,27
926,2691,30956,5,27
926,4286,32551,4,27
926,3556,31821,5,27
926,3301,31566,2,27
926,1670,29935,4,27
926,3138,31403,4,27
926,2433,30698,3,27
926,2447,30712,4,27
926,1922,30187,4,27
926,1811,30076,2,27
926,5547,33812,5,27
926,5268,33533,4,27
926,4275,32540,4,27
926,2780,31045,5,27
926,4411,32676,4,27
926,3905,32170,5,27
926,3468,31733,1,27
926,3495,31760,5,27
926,3486,31751,3,27
926,3187,31452,4,27
926,1827,30092,5,27
926,2604,30869,4,27
926,2793,31058,4,27
926,2416,30681,1,27
926,2364,30629,4,27
926,2684,30949,4,27
926,2360,30625,2,27
926,2166,30431,4,27
926,4929,33194,2,27
926,1658,29923,4,27
926,3694,31959,5,27
926,3504,31769,3,27
926,2745,31010,3,27
926,3464,31729,5,27
926,2676,30941,5,27
926,3583,31848,3,27
926,5449,33714,4,27
926,3608,31873,5,27
926,2978,31243,3,27
926,3442,31707,5,27
926,3174,31439,4,27
926,2575,30840,4,27
926,2851,31116,4,27
926,372,28637,4,27
926,3736,32001,3,27
926,2375,30640,1,27
926,1018,29283,5,27
926,3062,31327,2,27
926,2377,30642,4,27
926,2696,30961,2,27
926,990,29255,5,27
926,3818,32083,4,27
926,2051,30316,2,27
926,2210,30475,5,27
926,1179,29444,2,27
926,1789,30054,5,27
926,4001,32266,4,27
926,1904,30169,4,27
926,4582,32847,2,27
926,1840,30105,5,27
926,1411,29676,4,27
926,2697,30962,2,27
926,2344,30609,2,27
926,4748,33013,1,27
926,1874,30139,5,27
926,3263,31528,4,27
926,2515,30780,4,27
926,4269,32534,5,27
926,2147,30412,4,27
926,3222,31487,5,27
926,1657,29922,4,27
926,3846,32111,4,27
926,2304,30569,4,27
926,4862,33127,5,27
926,4642,32907,4,27
926,3978,32243,4,27
926,2669,30934,3,27
926,4304,32569,5,27
926,4871,33136,4,27
926,172,28437,2,27
926,3000,31265,2,27
926,5116,33381,4,27
926,3179,31444,5,27
926,3161,31426,5,27
926,2973,31238,4,27
926,2791,31056,4,27
926,696,28961,4,27
926,5185,33450,2,27
926,2893,31158,5,27
926,3652,31917,5,27
926,2530,30795,2,27
926,2510,30775,1,27
926,1946,30211,3,27
926,138,28403,3,27
926,3745,32010,5,27
926,3534,31799,4,27
926,3302,31567,3,27
926,3324,31589,4,27
926,3001,31266,2,27
926,3045,31310,3,27
926,2939,31204,4,27
926,2864,31129,4,27
926,2635,30900,2,27
926,5391,33656,3,27
926,2804,31069,1,27
926,2718,30983,5,27
926,182,28447,5,27
926,2651,30916,4,27
926,78,28343,5,27
926,2357,30622,3,27
926,2342,30607,4,27
926,1903,30168,5,27
926,233,28498,3,27
926,1319,29584,5,27
926,1876,30141,2,27
926,1853,30118,3,27
926,9,28274,5,27
926,1818,30083,3,27
926,1900,30165,4,27
939,4086,32351,5,197
939,5135,33400,2,197
939,3459,31724,5,197
939,2166,30431,5,197
939,2347,30612,5,197
939,3598,31863,5,197
939,1896,30161,4,197
939,825,29090,5,197
939,2199,30464,5,197
939,2032,30297,5,197
939,1071,29336,4,197
939,1146,29411,2,197
939,3394,31659,5,197
939,2798,31063,5,197
939,4472,32737,4,197
939,1040,29305,5,197
939,856,29121,5,197
939,4814,33079,5,197
939,4014,32279,5,197
939,5535,33800,2,197
939,4903,33168,5,197
939,5431,33696,3,197
939,1937,30202,4,197
939,267,28532,4,197
939,4711,32976,5,197
939,4126,32391,5,197
939,23,28288,4,197
939,362,28627,4,197
939,3432,31697,4,197
939,2142,30407,3,197
939,908,29173,5,197
939,949,29214,4,197
939,831,29096,4,197
939,3998,32263,2,197
939,272,28537,5,197
939,5397,33662,5,197
939,2064,30329,5,197
939,1038,29303,4,197
939,528,28793,3,197
939,4186,32451,5,197
939,1182,29447,5,197
939,5472,33737,2,197
939,2011,30276,5,197
939,734,28999,2,197
939,4426,32691,3,197
939,31,28296,4,197
939,363,28628,3,197
939,5151,33416,5,197
939,833,29098,3,197
939,4412,32677,2,197
939,45,28310,3,197
939,4157,32422,5,197
939,2141,30406,4,197
939,5487,33752,4,197
939,556,28821,5,197
939,765,29030,5,197
939,616,28881,4,197
939,739,29004,3,197
939,4640,32905,5,197
939,4456,32721,5,197
939,4438,32703,5,197
939,5392,33657,3,197
939,5332,33597,4,197
939,3921,32186,4,197
939,527,28792,5,197
939,2378,30643,4,197
939,5321,33586,5,197
939,1884,30149,5,197
939,1568,29833,5,197
939,2005,30270,4,197
939,353,28618,5,197
939,2075,30340,5,197
939,544,28809,3,197
939,310,28575,3,197
939,1462,29727,3,197
939,2186,30451,5,197
939,4176,32441,5,197
939,4316,32581,3,197
939,4100,32365,3,197
939,980,29245,5,197
939,177,28442,5,197
939,4263,32528,5,197
939,1417,29682,5,197
939,4402,32667,4,197
939,1833,30098,4,197
939,1883,30148,5,197
939,4791,33056,5,197
939,4542,32807,5,197
1911,4086,32351,5,20
1911,2621,30886,4,20
1911,3876,32141,5,20
1911,3790,32055,5,20
1911,3932,32197,3,20
1911,3907,32172,3,20
1911,3721,31986,3,20
1911,3225,31490,4,20
1911,3623,31888,4,20
1911,3286,31551,2,20
1911,1188,29453,5,20
1911,4056,32321,4,20
1911,2620,30885,5,20
1911,1956,30221,4,20
1911,3687,31952,4,20
1911,1509,29774,5,20
1911,1919,30184,4,20
1911,2173,30438,4,20
1911,460,28725,4,20
1911,3170,31435,4,20
1911,3347,31612,4,20
1911,192,28457,3,20
1911,3824,32089,3,20
1911,1087,29352,4,20
1911,2714,30979,3,20
1911,1256,29521,5,20
1911,1129,29394,5,20
1911,934,29199,5,20
1911,3541,31806,3,20
1911,1981,30246,5,20
1911,2892,31157,4,20
1911,117,28382,4,20
1911,5461,33726,5,20
1911,2661,30926,4,20
1911,265,28530,4,20
1911,2603,30868,2,20
1911,2079,30344,3,20
1911,1846,30111,5,20
1911,3682,31947,5,20
1911,2861,31126,3,20
1911,3681,31946,4,20
1911,2431,30696,4,20
1911,3608,31873,3,20
1911,2851,31116,5,20
1911,2696,30961,5,20
1911,3534,31799,4,20
1911,3394,31659,3,20
1911,3432,31697,5,20
1911,5472,33737,3,20
1911,4517,32782,5,20
1911,3917,32182,4,20
1911,3674,31939,3,20
1911,933,29198,4,20
1911,3646,31911,4,20
1911,3415,31680,4,20
1911,3568,31833,3,20
1911,3530,31795,4,20
1911,2979,31244,3,20
1911,1118,29383,5,20
1911,3289,31554,2,20
1911,3277,31542,3,20
1911,3275,31540,4,20
1911,3226,31491,2,20
1911,2857,31122,4,20
1911,2743,31008,4,20
1911,3266,31531,5,20
1911,2254,30519,3,20
1911,1004,29269,4,20
1911,4115,32380,4,20
1911,812,29077,4,20
1911,483,28748,4,20
1911,4567,32832,3,20
1911,3866,32131,3,20
1911,3851,32116,3,20
1911,3229,31494,3,20
1911,2367,30632,5,20
1911,4752,33017,4,20
1911,3038,31303,3,20
1911,2941,31206,3,20
1911,2468,30733,4,20
1911,2610,30875,2,20
1911,2481,30746,5,20
1911,2415,30680,4,20
1911,3030,31295,5,20
1911,2919,31184,1,20
1911,975,29240,5,20
1911,2611,30876,4,20
1911,2536,30801,5,20
1911,2358,30623,3,20
1911,4268,32533,4,20
1911,3835,32100,4,20
1911,3787,32052,4,20
1911,3485,31750,3,20
1911,2885,31150,4,20
1911,3132,31397,4,20
1911,4598,32863,4,20
1911,4836,33101,4,20
1911,2759,31024,4,20
1911,2618,30883,4,20
1911,2493,30758,3,20
1911,793,29058,4,20
1911,3234,31499,3,20
1911,2088,30353,4,20
1911,4775,33040,4,20
1911,2250,30515,4,20
1911,2361,30626,3,20
1911,1134,29399,4,20
1911,2476,30741,4,20
1911,2410,30675,4,20
1911,91,28356,3,20
1911,5306,33571,4,20
1911,3071,31336,3,20
1911,901,29166,5,20
1911,311,28576,4,20
1911,3409,31674,4,20
1911,1336,29601,4,20
1911,3458,31723,5,20
1911,3078,31343,4,20
1911,1501,29766,4,20
1911,2578,30843,5,20
1911,2556,30821,3,20
1911,2549,30814,3,20
1911,1895,30160,3,20
1911,2072,30337,4,20
1911,2188,30453,5,20
1911,154,28419,4,20
1911,120,28385,3,20
1911,81,28346,4,20
1911,5299,33564,4,20
1911,4162,32427,5,20
1911,4551,32816,4,20
1911,3456,31721,4,20
1911,3544,31809,5,20
1911,5022,33287,4,20
1911,4029,32294,4,20
1911,3776,32041,3,20
1911,3090,31355,5,20
1911,2721,30986,3,20
1911,2746,31011,4,20
1911,2063,30328,4,20
1911,3752,32017,3,20
1911,3487,31752,4,20
1911,3405,31670,3,20
1911,3584,31849,2,20
1911,2449,30714,4,20
1911,2073,30338,4,20
1911,1928,30193,3,20
1911,1159,29424,5,20
1911,1916,30181,3,20
1911,286,28551,3,20
1911,206,28471,3,20
1911,4170,32435,4,20
1911,5371,33636,4,20
1911,237,28502,4,20
1911,3183,31448,3,20
1911,2760,31025,4,20
1911,2838,31103,3,20
1911,266,28531,4,20
1911,2513,30778,3,20
1911,2456,30721,4,20
1911,3634,31899,3,20
1911,3635,31900,2,20
1911,2479,30744,3,20
1911,17,28282,4,20
1911,1984,30249,4,20
1911,3079,31344,3,20
1911,4452,32717,4,20
1911,4167,32432,4,20
1911,3048,31313,4,20
1911,2975,31240,4,20
1911,1464,29729,5,20
1911,3696,31961,4,20
1911,3690,31955,3,20
1911,258,28523,3,20
1911,2738,31003,5,20
1911,5493,33758,4,20
1911,1842,30107,4,20
1911,1817,30082,4,20
1911,163,28428,4,20
1911,4461,32726,3,20
1911,335,28600,5,20
1911,1378,29643,4,20
1911,88,28353,4,20
1911,1870,30135,3,20
1911,3726,31991,5,20
1911,3262,31527,4,20
1911,2385,30650,4,20
1911,118,28383,4,20
1911,462,28727,4,20
1911,3171,31436,3,20
1911,3022,31287,3,20
1911,3968,32233,4,20
1911,2870,31135,5,20
1911,2439,30704,3,20
1911,2268,30533,4,20
1911,1329,29594,4,20
1911,458,28723,5,20
1911,4303,32568,4,20
1911,3231,31496,4,20
1911,900,29165,3,20
1911,1536,29801,4,20
1911,1251,29516,4,20
1911,324,28589,5,20
1911,3879,32144,3,20
1911,2736,31001,3,20
1911,3513,31778,3,20
1911,3403,31668,4,20
1911,928,29193,4,20
1911,2766,31031,4,20
1911,401,28666,4,20
1911,1240,29505,4,20
1911,2179,30444,4,20
1911,2252,30517,4,20
1911,419,28684,3,20
1911,463,28728,4,20
1911,3446,31711,3,20
1911,2095,30360,4,20
1911,3339,31604,3,20
1911,148,28413,3,20
1911,3065,31330,4,20
1911,2947,31212,3,20
1911,2709,30974,2,20
1911,3106,31371,4,20
1911,2052,30317,4,20
1911,2974,31239,5,20
1911,2446,30711,3,20
1911,1892,30157,3,20
1911,2847,31112,3,20
1911,1421,29686,5,20
1911,299,28564,3,20
1911,3375,31640,4,20
1911,2803,31068,4,20
1911,3709,31974,4,20
1911,3811,32076,4,20
1911,80,28345,4,20
1911,259,28524,4,20
1911,4990,33255,4,20
1911,3469,31734,5,20
1911,1942,30207,4,20
1911,3352,31617,4,20
1911,2497,30762,3,20
1911,2428,30693,4,20
1911,3765,32030,3,20
1911,3447,31712,5,20
1911,5074,33339,5,20
1911,2504,30769,5,20
1911,1003,29268,4,20
1911,4647,32912,3,20
1911,872,29137,5,20
1911,3751,32016,4,20
1911,3227,31492,3,20
1911,896,29161,4,20
1911,3233,31498,2,20
1911,1010,29275,4,20
1911,2190,30455,5,20
1911,1459,29724,4,20
1911,1880,30145,4,20
1911,1302,29567,4,20
1911,4299,32564,4,20
1911,3351,31616,3,20
1911,5240,33505,5,20
1911,1406,29671,5,20
1911,214,28479,4,20
1911,496,28761,5,20
1911,3085,31350,5,20
1911,5444,33709,5,20
1911,2848,31113,3,20
1911,3221,31486,4,20
1911,151,28416,4,20
1911,3050,31315,4,20
1911,1075,29340,4,20
1911,2912,31177,4,20
1911,4499,32764,5,20
1911,3515,31780,3,20
1911,3180,31445,3,20
1911,3884,32149,4,20
1911,4481,32746,4,20
1911,3383,31648,3,20
1911,2627,30892,3,20
1911,5530,33795,5,20
1911,5027,33292,4,20
1911,3184,31449,3,20
1911,3474,31739,3,20
1911,2824,31089,2,20
1911,4334,32599,4,20
1911,2404,30669,4,20
1911,3603,31868,3,20
1911,1879,30144,4,20
1911,1972,30237,4,20
1911,3664,31929,4,20
1911,4389,32654,5,20
1911,1130,29395,4,20
1911,113,28378,3,20
1911,1774,30039,4,20
1911,1907,30172,5,20
1911,4614,32879,4,20
1911,5275,33540,4,20
1911,3825,32090,3,20
1911,4005,32270,5,20
1911,3088,31353,4,20
1911,3700,31965,4,20
1911,3761,32026,3,20
1911,4615,32880,4,20
1911,1352,29617,5,20
1911,108,28373,4,20
1911,3086,31351,3,20
1911,4101,32366,4,20
1911,291,28556,4,20
1911,2667,30932,2,20
1911,3389,31654,4,20
1911,2545,30810,4,20
1911,3244,31509,3,20
1911,2991,31256,4,20
1911,3235,31500,4,20
1911,2776,31041,2,20
1911,2692,30957,4,20
1911,3951,32216,5,20
1911,2730,30995,3,20
1911,185,28450,5,20
1911,2929,31194,5,20
1911,3478,31743,4,20
1911,4953,33218,4,20
1911,2886,31151,3,20
1911,2841,31106,4,20
1911,3679,31944,4,20
1911,2571,30836,3,20
1836,1646,29911,5,26
1836,2621,30886,3,26
1836,2139,30404,5,26
1836,3080,31345,4,26
1836,371,28636,4,26
1836,2517,30782,4,26
1836,5016,33281,4,26
1836,1509,29774,5,26
1836,3304,31569,5,26
1836,467,28732,4,26
1836,1919,30184,4,26
1836,2569,30834,4,26
1836,1053,29318,5,26
1836,4398,32663,5,26
1836,2173,30438,4,26
1836,4511,32776,4,26
1836,2255,30520,4,26
1836,2531,30796,4,26
1836,1794,30059,5,26
1836,2444,30709,5,26
1836,2704,30969,4,26
1836,2330,30595,4,26
1836,2606,30871,4,26
1836,3,28268,5,26
1836,2584,30849,4,26
1836,2986,31251,5,26
1836,5234,33499,4,26
1836,1975,30240,5,26
1836,2044,30309,4,26
1836,23,28288,4,26
1836,831,29096,3,26
1836,1038,29303,4,26
1836,528,28793,4,26
1836,4186,32451,4,26
1836,4517,32782,5,26
1836,933,29198,4,26
1836,2979,31244,5,26
1836,2857,31122,4,26
1836,2610,30875,4,26
1836,2618,30883,4,26
1836,3234,31499,4,26
1836,2088,30353,4,26
1836,3071,31336,4,26
1836,2549,30814,5,26
1836,2072,30337,4,26
1836,120,28385,4,26
1836,2479,30744,4,26
1836,17,28282,5,26
1836,1984,30249,4,26
1836,3079,31344,4,26
1836,4452,32717,4,26
1836,4167,32432,5,26
1836,3048,31313,5,26
1836,2975,31240,4,26
1836,2480,30745,4,26
1836,2904,31169,4,26
1836,3595,31860,5,26
1836,3207,31472,4,26
1836,2708,30973,5,26
1836,2810,31075,4,26
1836,2925,31190,5,26
1836,3102,31367,4,26
1836,2505,30770,5,26
1836,2434,30699,5,26
1836,4947,33212,4,26
1836,2061,30326,4,26
1836,560,28825,5,26
1836,1193,29458,4,26
1836,365,28630,4,26
1836,407,28672,4,26
1836,231,28496,5,26
1836,4609,32874,4,26
1836,429,28694,4,26
1836,4680,32945,4,26
1836,3996,32261,5,26
1836,5024,33289,5,26
1836,4500,32765,4,26
1836,4489,32754,5,26
1836,1684,29949,4,26
1836,2631,30896,4,26
1836,2397,30662,4,26
1836,512,28777,5,26
1836,4154,32419,5,26
1836,633,28898,4,26
1836,4519,32784,4,26
1836,326,28591,5,26
1836,1198,29463,5,26
1836,12,28277,3,26
1836,1571,29836,4,26
1836,2677,30942,5,26
1836,90,28355,5,26
1836,5524,33789,5,26
1836,3284,31549,5,26
1836,4696,32961,4,26
1836,2566,30831,4,26
1836,228,28493,4,26
1836,1217,29482,5,26
1836,3296,31561,4,26
1836,3728,31993,5,26
1836,1757,30022,5,26
1836,224,28489,4,26
1836,4606,32871,4,26
1836,3463,31728,5,26
1836,3278,31543,4,26
1836,2788,31053,5,26
1836,2474,30739,5,26
1836,1109,29374,4,26
1836,282,28547,5,26
1836,247,28512,5,26
1836,1605,29870,4,26
1836,4914,33179,5,26
1836,4470,32735,5,26
1836,2402,30667,4,26
1836,4790,33055,4,26
1836,42,28307,4,26
1836,637,28902,5,26
1836,5274,33539,4,26
1836,5331,33596,4,26
1836,5260,33525,4,26
1836,412,28677,5,26
1836,4349,32614,5,26
1836,563,28828,4,26
1836,340,28605,5,26
1836,534,28799,5,26
1836,3097,31362,4,26
1836,2811,31076,4,26
1836,2729,30994,4,26
1836,2489,30754,4,26
1836,1888,30153,4,26
1836,57,28322,4,26
1836,4494,32759,4,26
1836,1863,30128,4,26
1836,938,29203,5,26
1836,5326,33591,4,26
1836,1687,29952,4,26
1836,5045,33310,4,26
1836,1582,29847,4,26
1836,4881,33146,5,26
1836,2287,30552,5,26
1836,1629,29894,5,26
1836,1909,30174,4,26
1836,5409,33674,4,26
1836,5221,33486,5,26
1836,2771,31036,4,26
1836,4192,32457,5,26
1836,1493,29758,5,26
1836,3743,32008,4,26
1836,1510,29775,4,26
1836,1089,29354,4,26
1836,3516,31781,5,26
1836,404,28669,4,26
1836,3512,31777,4,26
1836,3240,31505,5,26
1836,4894,33159,4,26
1836,3057,31322,4,26
1836,3372,31637,5,26
1836,1668,29933,4,26
1836,3331,31596,5,26
1836,3285,31550,4,26
1836,1139,29404,5,26
1836,775,29040,4,26
1836,2226,30491,5,26
1836,587,28852,4,26
